,GAME_ID,HOMEML,AWAYML,WL_HOME,HOMESPREAD_ATCLOSE,PRED_SPREAD,HWAGER,AWAGER,PRED_ML
1738,21900716,3.1,1.3846153846153846,W,6.0,0.18072301,0.0,0.0,0.5737929
1739,21400957,1.3571428571428572,3.3,L,-6.5,-2.6867971,0.0,0.0,0.6800132
1740,20901167,1.181818181818182,5.25,W,-9.5,-5.052243,0.0,0.0,0.8609991
1741,20800618,1.4166666666666667,3.0,W,-5.5,-3.0959406,0.0,0.0,0.8026576
1742,21500070,1.869565217391304,1.9523809523809523,W,-1.0,0.06683534,0.0,0.0,0.51906985
1743,20900764,1.970873786407767,1.8547008547008548,L,1.0,-0.8141975,0.0,0.0,0.52725434
1744,21600295,1.6896551724137931,2.25,W,-2.5,-6.443184,0.0,0.0,0.7843824
1745,21600336,2.4,1.625,W,3.5,0.9012967,0.0,0.0,0.61523354
1746,20900890,2.05,1.8,L,1.5,-1.1889908,0.0,0.0,0.43278617
1747,21300848,1.198019801980198,4.95,W,-9.0,-8.251326,0.0,0.0,0.7409549
1748,21500012,1.4878048780487805,2.75,L,-4.5,-0.40832713,0.0,0.0,0.55588895
1749,21500679,4.8,1.2173913043478262,L,9.0,3.5536082,0.0,0.0,0.49632192
1750,21000504,1.2,5.0,W,-9.0,-9.808126,0.0,0.0,0.85752887
1751,21000352,1.0666666666666669,10.5,W,-13.0,1.27585,0.0,0.0,0.41481808
1752,21800179,1.5,2.7,W,-4.5,-2.3219945,0.0,0.0,0.63856447
1753,22100438,1.8333333333333333,2.0,W,-1.5,4.877211,1.0,0.0,0.6103405
1754,20700512,1.2777777777777777,4.0,W,-7.5,-0.6831701,0.0,0.0,0.51217014
1755,21500362,1.6451612903225803,2.35,W,-3.0,-1.0082264,0.0,0.0,0.6817146
1756,21500642,2.2,1.7142857142857144,L,2.5,-4.1437597,0.0,0.0,0.57918346
1757,21000997,2.4,1.625,W,3.5,-5.834757,0.0,0.0,0.68547434
1758,41200235,1.3571428571428572,3.4,W,-7.0,-8.317707,0.0,0.0,0.9294953
1759,21100071,2.75,1.4761904761904765,W,5.0,2.9717095,0.0,0.0,0.48759168
1760,40800104,4.7,1.2127659574468086,L,9.0,-1.9231784,0.0,0.0,0.5259899
1761,20700311,1.2439024390243902,4.4,W,-8.5,-2.3545778,0.0,0.0,0.5679591
1762,21501045,1.0285714285714285,14.0,W,-15.5,-7.636043,0.0,0.0,0.9230382
1763,21500209,1.6451612903225803,2.35,L,-3.0,-0.36714566,0.0,0.0,0.62331724
1764,21900452,1.4,3.0,L,-6.0,-6.795864,0.0,0.0,0.6510585
1765,21300937,1.9090909090909087,1.9090909090909087,W,0.0,-8.9282055,0.0,0.0,0.7920587
1766,21800492,1.9523809523809523,1.869565217391304,W,1.0,-5.187989,1.0,0.0,0.59731966
1767,20700509,1.2666666666666666,4.15,W,-8.0,-2.4974847,0.0,0.0,0.66714376
1768,20900305,1.2173913043478262,4.6,W,-9.0,0.44780463,0.0,0.0,0.7691304
1769,21800598,1.526315789473684,2.6,W,-4.5,0.22119018,0.0,0.0,0.5863661
1770,41100163,1.606060606060606,2.45,W,-3.5,-5.593584,0.0,0.0,0.6458547
1771,41100135,1.7692307692307692,2.1,W,-1.5,-1.2726827,0.0,0.0,0.6295888
1772,21700708,1.6451612903225803,2.35,W,-3.0,-3.3267229,0.0,0.0,0.5497489
1773,21400754,4.15,1.2531645569620251,W,8.5,-3.1965778,0.0,0.0,0.5461444
1774,21500536,5.25,1.181818181818182,L,9.5,6.550001,0.0,0.0,0.19202115
1775,21800674,1.7692307692307692,2.1,L,-1.5,1.6329086,1.0,0.0,0.6607667
1776,21300512,1.6666666666666663,2.3,W,-3.0,-7.4328,0.0,0.0,0.7441099
1777,41300103,2.1,1.7692307692307692,W,2.0,-1.3519633,0.0,0.0,0.79447573
1778,21301218,1.1111111111111112,7.2,L,-11.5,-1.277499,0.0,0.0,0.568809
1779,21700020,1.3571428571428572,3.3,W,-6.5,-5.3773327,0.0,0.0,0.70865726
1780,21501160,4.6,1.2325581395348837,L,9.0,0.7726876,0.0,0.0,0.35614118
1781,20700463,1.5882352941176472,2.5,L,-3.5,-5.9367423,0.0,0.0,0.664045
1782,20700288,1.526315789473684,2.6,W,-4.0,-4.2637844,0.0,0.0,0.7853555
1783,21500091,1.6896551724137931,2.25,W,-2.5,-2.5761683,0.0,0.0,0.31017962
1784,21500522,1.25,4.25,W,-8.5,-2.786516,0.0,0.0,0.6628975
1785,21000840,2.1,1.7692307692307692,L,2.0,-1.8039355,0.0,0.0,0.5523233
1786,21000698,1.25,4.3,W,-8.0,-5.541668,0.0,0.0,0.7815036
1787,21400239,2.8,1.4545454545454546,L,5.0,-1.1795597,0.0,0.0,0.616605
1788,21900056,1.2,4.75,W,-9.5,-1.687576,0.0,0.0,0.5274087
1789,20800684,1.303030303030303,3.7,L,-7.0,-5.323576,0.0,0.0,0.5549375
1790,41000145,1.3125,3.6,W,-7.0,-6.510923,0.0,0.0,0.7032087
1791,21500681,1.4761904761904765,2.8,W,-5.0,-4.444219,0.0,0.0,0.70057064
1792,20900074,1.0847457627118644,10.8,W,-13.0,-2.38352,0.0,0.0,0.6715882
1793,21500503,2.1,1.7692307692307692,W,2.0,-8.026627,0.0,0.0,0.6569538
1794,21700780,1.25,4.0,W,-8.0,-4.938925,0.0,0.0,0.6359579
1795,22000440,2.75,1.5,L,5.0,2.9914205,0.0,0.0,0.3892101
1796,21300385,1.263157894736842,4.1,W,-8.0,0.48886812,0.0,0.0,0.42048097
1797,41800203,1.7246376811594204,2.18,L,-2.0,-3.2303998,0.0,0.0,0.46647102
1798,20700323,2.7,1.5,W,4.5,-0.7399253,0.0,0.0,0.5256144
1799,21800014,1.0869565217391304,8.33,W,-12.5,-5.5743685,0.0,0.0,0.6778226
1800,41600154,2.84,1.4545454545454546,W,5.0,0.6431702,0.0,0.0,0.5235896
1801,21600775,1.869565217391304,1.9523809523809523,L,-1.0,-2.109116,0.0,0.0,0.42155203
1802,21100442,1.2,5.0,W,-9.0,-7.537248,0.0,0.0,0.69426835
1803,21400617,1.1904761904761905,5.05,W,-9.5,-3.6916318,0.0,0.0,0.76282465
1804,21300961,1.4166666666666667,3.0,L,-6.0,-6.383454,0.0,0.0,0.7700149
1805,21800391,1.4,3.0,W,-6.0,-3.2823708,0.0,0.0,0.51568747
1806,20701181,3.15,1.392156862745098,L,6.5,-2.1447685,0.0,0.0,0.6461657
1807,20800229,1.3125,3.6,L,-7.0,-2.3790672,0.0,0.0,0.72150123
1808,21200429,2.75,1.5,L,5.0,4.1625504,0.0,0.0,0.36980388
1809,21200619,1.1538461538461535,5.9,W,-10.0,-6.2993965,0.0,0.0,0.7304867
1810,21800107,3.6,1.3125,W,7.0,-1.6379007,0.0,0.0,0.5639132
1811,21500083,1.0142857142857142,21.0,W,-17.0,-8.514177,0.0,0.0,0.8274755
1812,21500331,1.2857142857142856,3.9,W,-7.5,-7.318602,0.0,0.0,0.7949288
1813,20700113,1.3448275862068966,3.4,L,-6.5,2.2172937,0.0,0.0,0.42255625
1814,20800094,1.3703703703703702,3.3,L,-6.5,-9.141293,0.0,0.0,0.8070714
1815,21900148,1.25,4.0,W,-8.5,-4.699359,0.0,0.0,0.64773756
1816,21901245,1.5882352941176472,2.5,W,-4.0,-0.5121682,0.0,0.0,0.51863354
1817,21801186,1.4,3.0,W,-5.5,1.5325205,0.0,0.0,0.6289475
1818,21600083,1.606060606060606,2.45,W,-3.5,-1.4926559,0.0,0.0,0.48311803
1819,20901225,1.1176470588235294,7.5,W,-11.0,-8.035074,0.0,0.0,0.7459904
1820,21000868,2.8,1.4545454545454546,L,5.0,-2.3322887,0.0,0.0,0.55407363
1821,41500313,2.1,1.7692307692307692,W,7.0,-0.80666596,0.0,0.0,0.5335808
1822,21900260,3.25,1.3636363636363638,L,6.5,0.8013702,0.0,0.0,0.5794475
1823,21100460,2.1,1.7692307692307692,W,2.0,-1.8213785,0.0,0.0,0.609616
1824,21900026,1.125,6.5,L,-11.5,-3.5222642,0.0,0.0,0.5820815
1825,21400405,1.2247191011235956,4.55,L,-8.5,-1.449461,0.0,0.0,0.6511167
1826,21300805,2.35,1.6451612903225803,W,3.0,-1.3823254,0.0,0.0,0.7006511
1827,21100318,1.392156862745098,3.05,W,-6.0,-1.7221329,0.0,0.0,0.38832504
1828,21500727,2.75,1.5,W,4.5,2.3089626,0.0,0.0,0.49833742
1829,22000491,2.55,1.5714285714285714,W,5.5,-1.1668046,0.0,0.0,0.37144583
1830,21000886,1.1869158878504673,5.1,W,-9.0,-6.510923,0.0,0.0,0.7032087
1831,21400934,2.0,1.8333333333333333,L,1.0,-1.4949849,0.0,0.0,0.5649169
1832,21000360,1.4545454545454546,2.8,W,-4.5,-6.805792,0.0,0.0,0.72779244
1833,22000195,1.526315789473684,2.7,W,-5.0,-0.92921466,0.0,0.0,0.46514797
1834,21100034,2.35,1.6451612903225803,W,3.0,0.6174892,0.0,0.0,0.46603307
1835,21700493,2.0,1.8333333333333333,L,1.0,-2.9079943,0.0,0.0,0.66531044
1836,22100276,8.5,1.0833333333333333,L,14.0,6.163992,0.0,0.0,0.4353718
1837,21500376,1.04,12.0,W,-13.5,-10.593859,0.0,0.0,0.9323792
1838,21200184,1.526315789473684,2.65,L,-4.5,-6.695938,0.0,0.0,0.6316389
1839,21200784,1.7692307692307692,2.1,L,-2.0,-2.6985023,0.0,0.0,0.5939511
